name,category,subcategory
Mokawuwo'wi,MALE II,
Makopemu,MALE II,
Pipapuhi,MALE II,
Nenehohawe,MALE II,
Milumumetli,MALE II,
Nelemamu,MALE II,
Luli,MALE II,
Nukupenu,MALE II,
Petlonelulotli,MALE II,
Pu'u,MALE II,
Himuhi,MALE II,
GOD PLACES,FEMALE NAMES,
Tlotli,GOD PLACES,
Tlolutli'kohuhu'ko,GOD PLACES,
Wanekamukinu,GOD PLACES,
Ka'tlemi,GOD PLACES,
Kumawiluwelo,GOD PLACES,
Ne'ma'li,GOD PLACES,
Kepikalewe'wule,GOD PLACES,
Tlo'mane'ha,GOD PLACES,
Tlukuke'niwa',GOD PLACES,
Ho'pone'hi,GOD PLACES,
Mewu'pa'nuki,GOD PLACES,
Hi'mi'ka,GOD PLACES,
Mahowutlotlo,GOD PLACES,
Lo'namana,GOD PLACES,
GOD PLACES,MALE NAMES,
Wuhohimi,GOD PLACES,
MALE,FEMALE NAMES,
Soraya filiaTytalus,MALE,
Damvild filia Eki,MALE,
PaxTriumphia,MALE,
Oldoyni,MALE,
Domma Portia,MALE,
Manuela filia Manuela,MALE,
Ludmilla,MALE,
Sorcha Diadnea,MALE,
Alysium,MALE,
Clementia,MALE,
Joslynn.the Merinita,MALE,
Lillian Wright,MALE,
Ernestina the Rabbit,MALE,
SIGILS OF MAGIC,FEMALE NAMES,
None,,
MALE,MALE NAMES,
Murinus Mus,MALE,
SIGILS OF MAGIC,MALE NAMES,
Murinus Mus,SIGILS OF MAGIC,
Quintus,SIGILS OF MAGIC,
Acanthus,SIGILS OF MAGIC,
Eki of Bjornaer,SIGILS OF MAGIC,
Severin,SIGILS OF MAGIC,
Claris Sol,SIGILS OF MAGIC,
Acerbus Anquero,SIGILS OF MAGIC,
Luce re,SIGILS OF MAGIC,
Puliarus,SIGILS OF MAGIC,
Andredeo,SIGILS OF MAGIC,
SilenusVox,SIGILS OF MAGIC,
Declamare,SIGILS OF MAGIC,
Circensus,SIGILS OF MAGIC,
Libra Mentum,SIGILS OF MAGIC,
Vassili Mercere,SIGILS OF MAGIC,
Badger of Bjornaer,SIGILS OF MAGIC,
Nikolas Abelafia,SIGILS OF MAGIC,
Story Games Names Project,Pixies,Pseudo-English
MALE NAMES ONE,FEMALE NAMES TWO,FEMALE NAMES THREE
Nhirrpi,Jason Morningstar,Makaari
Jason Morningstar,Kulangga,Malkirri
Jason Morningstar,Buttercup,Daisy
MALE NAMES 5,,
"1)""Khao-wei",,
"2)""Wing-gui",,
"3)""Isaac",,
"4)""Ezra",,
"5)""Tabor",,
MALE NAMES 4,,
"1)""Joseph",,
"2)""Hyun-Soo",,
"3)""Shan-zu",,
"4)""Jung-Bok",,
Space Cowboys,,
"1)""Paul",,
"2)""Thaddeus",,
"3)""Lian-xiang",,
"4)""Timothy",,
"5)""Shan-guo",,
"2)""Wing",,
MALE NAMES,SURNAMES,
Wing-gui,Wing,Shan-guo
Compiled by Joshua BishopRoby,MALE,
Jim,Joshua BishopRoby,
Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies),
Pallas,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Pat,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Pomona,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Sue,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Harrington,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Barbara,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Alberts,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Kat,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Callisto,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Pamela,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Hoffmeister,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Diane,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Bernes,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Janet,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Adeona,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Liz,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Simpson,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Carol,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Shirley,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Hidalgo,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Rebecca,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Nereus,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Judith,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Pizarro,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Beverly,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Peltier,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Betty,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Mercury,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Anne,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Bede,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Jane,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Berkeley,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Marilyn,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Sheila,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Kennedy,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Ginny,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Kirkwood,Compiled by Joshua BishopRoby,FEMALE SURNAMES (all celestial bodies)
Compiled by Shreyas Sampat,,
Harud / forest,Shreyas Sampat,
Luyun / blue,Shreyas Sampat,
Kagubizg / horse rider,Shreyas Sampat,
Kulul / bee,Shreyas Sampat,
Kothas / dagger,Shreyas Sampat,
Kalan / goose,Shreyas Sampat,
Vinid / warrior,Shreyas Sampat,
Nilazem / hawk,Shreyas Sampat,
Hasau / seeker,Shreyas Sampat,
Seliyal / sparrow,Shreyas Sampat,
Kassai / sandstorm,Shreyas Sampat,
Elizdi / the hundredth,Shreyas Sampat,
Yosol / growing tall,Shreyas Sampat,
Lai Chweng / blackbird,Shreyas Sampat,
Meyem / raging,Shreyas Sampat,
Nabi / lamb,Shreyas Sampat,
Kanan / burning,Shreyas Sampat,
Ki'ring / brilliance,Shreyas Sampat,
Mor / birch tree,Shreyas Sampat,
Yedhem / shade,Shreyas Sampat,
Syar / breeze,Shreyas Sampat,
Luvayry / carp,Shreyas Sampat,
Morug / khan,Shreyas Sampat,
Radmer / moonflower,Shreyas Sampat,
Nasu / lightning,Shreyas Sampat,
Nfhlendu (Nellendu) / honeysuckle,Shreyas Sampat,
Sesut / poplar tree,Shreyas Sampat,
Raka / green,Shreyas Sampat,
Lastal / ash tree,Shreyas Sampat,
Sona / apple,Shreyas Sampat,
Faraz (or Ferz) / bean,Shreyas Sampat,
Resemu / bitter orange,Shreyas Sampat,
Dhar / strong,Shreyas Sampat,
Thesel / lychee,Shreyas Sampat,
Kathkar / hardened heart,Shreyas Sampat,
Payusyem / duck,Shreyas Sampat,
Hosor / weaver,Shreyas Sampat,
Kasif / white,Shreyas Sampat,
Nawar / strength of youth,Shreyas Sampat,
Nui'yal / crane,Shreyas Sampat,
Deeper-and-Deeper- Water,Shreyas Sampat,
Crippled Deer,Shreyas Sampat,
Desolate Vessel,Shreyas Sampat,
Sparrow Brand,Shreyas Sampat,
Iron,Shreyas Sampat,
Yellow King,Shreyas Sampat,
One Hundred Eyes,Shreyas Sampat,
In-Darkness-He-ls-Waiting,Shreyas Sampat,
the Clicking,Shreyas Sampat,
Hospitable Sword,Shreyas Sampat,
Sudden Nightfall,Shreyas Sampat,
Magnificence,Shreyas Sampat,
Flower-of-Forgetting,Shreyas Sampat,
Summer-Without-Rain,Shreyas Sampat,
Creator-of-AII-Things,Shreyas Sampat,
Bitter River,Shreyas Sampat,
Patience,Shreyas Sampat,
Darkened Moon,Shreyas Sampat,
Black Flower,Shreyas Sampat,
Scattered Spider,Shreyas Sampat,
Compiled by Moyra Turkington,,
Anansi,Moyra Turkington,
Ashanti mythology,Moyra Turkington,
Exu,Yoruban mythology,Moyra Turkington
Loki,Norse mythology,Moyra Turkington
Iktomi Heyoka,Lakota mythology,Moyra Turkington
Coyote,Navajo mythology,Moyra Turkington
Raven,Haida mythology,Moyra Turkington
Saci,Brazilian folklore,Moyra Turkington
Bamapana,Australian Aboriginal,Moyra Turkington
Till Eulenspiegel,German folklore,Moyra Turkington
Nasrudin,Islamic mythology,Moyra Turkington
Kitsune,Japanese mythology,Moyra Turkington
Sun Wukong,Chinese mythology,Moyra Turkington
Kaulu,Hawaiian mythology,Moyra Turkington
Renart,French folklore,Moyra Turkington
Prometheus,Greek mythology,Moyra Turkington
Sosruko,Caucasian mythology,Moyra Turkington
Kokopelli,Hopi/Zuni mythology,Moyra Turkington
Amaguq,Inuit mythology,Moyra Turkington
Puca,Irish mythology,Moyra Turkington
Ueuecoyotl,Aztec mythology,Moyra Turkington
Thalia,FEMALE,
Medee,FEMALE,
Pandaree,FEMALE,
Danae,FEMALE,
Macharia,FEMALE,
Ariane,FEMALE,
Etenou,FEMALE,
Adara,FEMALE,
Cyrene,FEMALE,
Laetitia,FEMALE,
Cleite,FEMALE,
Eande,FEMALE,
Nephele,FEMALE,
Ouranie,FEMALE,
Lyra,FEMALE,
Melle,FEMALE,
Colette,FEMALE,
Pasiphae,FEMALE,
Polyzene,FEMALE,
Andromede,FEMALE,
Erasme,FEMALE 2,
Nausicaa,FEMALE 2,
Pollux,FEMALE 2,
Chrysotheme,FEMALE 2,
Names,,
Alida,Names,
Icare,Names,
ThaTs,Names,
Perdix,Names,
Aradie,Names,
Cergon,Names,
Perivie,Names,
Chrysotheme,Names,
Kore,Names,
Dancing,Taverns Column A,
Harp and,Taverns Column A,
Vixen's,Taverns Column A,
Odd,Taverns Column A,
Blue,Taverns Column A,
Three,Taverns Column A,
Oak and,Taverns Column A,
Grey,Taverns Column A,
Top o' the,Taverns Column A,
Maggie's,Taverns Column A,
Tatterly's,Taverns Column A,
Rod and,Taverns Column A,
Five,Taverns Column A,
Robin's,Taverns Column A,
Starlight,Taverns Column A,
Shay's,Taverns Column A,
King Phillip's,Taverns Column A,
Clover and,Taverns Column A,
Dusty,Taverns Column A,
Golden,Taverns Column A,
Ashen Way,Dangerous Places Just Outside Town,
Dove,Taverns Column B,
Barrymore's Hole,Taverns Column B,
Den,Taverns Column B,
Cobblefall,Taverns Column B,
Bucks,Taverns Column B,
Cold Riley Holler,Taverns Column B,
Unicorn,Taverns Column B,
Dry Willow's Hovel,Taverns Column B,
Sisters,Taverns Column B,
Edger See,Taverns Column B,
Ash,Taverns Column B,
Glass Junction,Taverns Column B,
Goose,Taverns Column B,
GreenslickWell,Taverns Column B,
Green,Taverns Column B,
Horse Leap,Taverns Column B,
Place,Taverns Column B,
IblisGrot,Taverns Column B,
Reel,Taverns Column B,
Kettleblack Road,Taverns Column B,
Crossroads,Taverns Column B,
Peppersnake Fen,Taverns Column B,
Nest,Taverns Column B,
Queery Cave,Taverns Column B,
Inn,Taverns Column B,
Quicksilver Inlet,Taverns Column B,
Lounge,Taverns Column B,
Slipshine Gulley,Taverns Column B,
Rose,Taverns Column B,
Miller's,Taverns Column B,
SwitchbackTumble,Taverns Column B,
Griffin,Taverns Column B,
Tall Man's Shadow,Taverns Column B,
Leaf,Taverns Column B,
The Empty,Taverns Column B,
Bull,Taverns Column B,
The Glow,Taverns Column B,
Stones,Taverns Column B,
Arp,Tavern Regulars Anglo-Germanic-Ish Surnames,
Appelbaun,Tavern Regulars Anglo-Germanic-Ish Surnames,
Bailey,Tavern Regulars Anglo-Germanic-Ish Surnames,
Brunshaus,Tavern Regulars Anglo-Germanic-Ish Surnames,
Binko,Tavern Regulars Anglo-Germanic-Ish Surnames,
Dooley,Tavern Regulars Anglo-Germanic-Ish Surnames,
Catgut,Tavern Regulars Anglo-Germanic-Ish Surnames,
Dogskin,Tavern Regulars Anglo-Germanic-Ish Surnames,
Darby,Tavern Regulars Anglo-Germanic-Ish Surnames,
Elbert,Tavern Regulars Anglo-Germanic-Ish Surnames,
Dodd,Tavern Regulars Anglo-Germanic-Ish Surnames,
Gose,Tavern Regulars Anglo-Germanic-Ish Surnames,
Evrit,Tavern Regulars Anglo-Germanic-Ish Surnames,
Godard,Tavern Regulars Anglo-Germanic-Ish Surnames,
Frank,Tavern Regulars Anglo-Germanic-Ish Surnames,
Knickerbing,Tavern Regulars Anglo-Germanic-Ish Surnames,
Gipper,Tavern Regulars Anglo-Germanic-Ish Surnames,
Lumpley,Tavern Regulars Anglo-Germanic-Ish Surnames,
Jon,Tavern Regulars Anglo-Germanic-Ish Surnames,
Moony,Tavern Regulars Anglo-Germanic-Ish Surnames,
Lucky,Tavern Regulars Anglo-Germanic-Ish Surnames,
Nobody,Tavern Regulars Anglo-Germanic-Ish Surnames,
Mordecai,Tavern Regulars Anglo-Germanic-Ish Surnames,
Phalter,Tavern Regulars Anglo-Germanic-Ish Surnames,
Old Bern,Tavern Regulars Anglo-Germanic-Ish Surnames,
Pilgrim,Tavern Regulars Anglo-Germanic-Ish Surnames,
One-Eye,Tavern Regulars Anglo-Germanic-Ish Surnames,
Poorpenny,Tavern Regulars Anglo-Germanic-Ish Surnames,
Pato,Tavern Regulars Anglo-Germanic-Ish Surnames,
Putzkammer,Tavern Regulars Anglo-Germanic-Ish Surnames,
Ratch,Tavern Regulars Anglo-Germanic-Ish Surnames,
Scumble,Tavern Regulars Anglo-Germanic-Ish Surnames,
Smith,Tavern Regulars Anglo-Germanic-Ish Surnames,
Thar,Tavern Regulars Anglo-Germanic-Ish Surnames,
Thewsday,Tavern Regulars Anglo-Germanic-Ish Surnames,
Uncle,Tavern Regulars Anglo-Germanic-Ish Surnames,
Wossiface,Tavern Regulars Anglo-Germanic-Ish Surnames,
Call-'Em-(select from epithets list),Tavern Regulars Anglo-Germanic-Ish Surnames,
Big,Tavern Wench Epithets,
Aubra,Tavern Wench Epithets,
Black-Eyed,Tavern Wench Epithets,
Beaulinda,Tavern Wench Epithets,
Blousy,Tavern Wench Epithets,
Brenna,Tavern Wench Epithets,
Dour,Tavern Wench Epithets,
Cherry,Tavern Wench Epithets,
The Duchess,Tavern Wench Epithets,
Darcy,Tavern Wench Epithets,
Friendly,Tavern Wench Epithets,
Darva,Tavern Wench Epithets,
Frigid,Tavern Wench Epithets,
Elske,Tavern Wench Epithets,
Holy,Tavern Wench Epithets,
Girl,Tavern Wench Epithets,
Jolly,Tavern Wench Epithets,
Hella,Tavern Wench Epithets,
Knee-High,Tavern Wench Epithets,
Jane,Tavern Wench Epithets,
Love-A-Brick,Tavern Wench Epithets,
Kate,Tavern Wench Epithets,
Loud,Tavern Wench Epithets,
Kim,Tavern Regulars Anglo-Germanic-Ish Surnames,
Pretty,Tavern Regulars Anglo-Germanic-Ish Surnames,
Louisie,Tavern Regulars Anglo-Germanic-Ish Surnames,
Ruddy,Tavern Regulars Anglo-Germanic-Ish Surnames,
Mina,Tavern Regulars Anglo-Germanic-Ish Surnames,
Salty,Tavern Regulars Anglo-Germanic-Ish Surnames,
Panjandra,Tavern Regulars Anglo-Germanic-Ish Surnames,
Shy,Tavern Regulars Anglo-Germanic-Ish Surnames,
Polly,Tavern Regulars Anglo-Germanic-Ish Surnames,
Slippery,Tavern Regulars Anglo-Germanic-Ish Surnames,
Poppine,Tavern Regulars Anglo-Germanic-Ish Surnames,
Sly,Tavern Regulars Anglo-Germanic-Ish Surnames,
Sally,Tavern Regulars Anglo-Germanic-Ish Surnames,
Sneezing,Tavern Regulars Anglo-Germanic-Ish Surnames,
Violet,Tavern Regulars Anglo-Germanic-Ish Surnames,
Three-Beer,Tavern Regulars Anglo-Germanic-Ish Surnames,
Winnie,Tavern Regulars Anglo-Germanic-Ish Surnames,
Hazari,RARE MALE 1,
Ralina,RARE FEMALE 1,
Suphachad,RARE MALE 1,
Bophary,RARE MALE 1,
Laru,RARE MALE 1,
Lan-Dai,RARE MALE 1,
Abundie,RARE MALE 1,
Mridula,RARE MALE 1,
Dalis,RARE MALE 1,
Suchin,RARE MALE 1,
Goncalo,RARE MALE 1,
Shealin,RARE MALE 1,
Sovanrithy,RARE MALE 1,
Cynthanie,RARE FEMALE 1,
Seungyong,RARE MALE 1,
Saraswathi,RARE MALE 1,
Ish,RARE MALE 1,
Berneatha,RARE MALE 1,
Oryan,RARE MALE 1,
Thembisa,RARE MALE 1,
Yunlong,RARE MALE 1,
American Names,STRANGE SURNAMES 1,
Clavey,,
Seratti,,
Mitter,,
Bawks,,
Blonigan,,
Linderleaf,,
Mandler,,
Brunback,,
Borycz,,
Spyrakos,,
Blochberger,,
Kruzel,,
Yanai,,
McGlohon,,
Klitzner,,
Pecatoste,,
Polton,,
Gavula,,
Fontneau,,
Phelp,,
Shindel,,
Marsell,,
Greenrose,,
Passerino,,
Lazurek,,
Simmond,,
Shefte,,
Canatella,,
Bourlier,,
Strachman,,
Sarnes,,
Guevana,,
Belfast,,
He roth,,
Vlasak,,
Reagey,,
Hilsgen,,
Cambronne,,
Lahne,,
American Names,MODERN JOBS 3,
Pallet Jack Mechanic,,
Commercial Estimator,,
Applications Architect,,
Headhunter,,
Surgical Technician,,
Dietitian,,
Aid to Autistic Adult,,
Specimen Processing Supv.,,
Physical Therapist,,
Telemarketer,,
Chef,,
Temp,,
Senior Buyer,,
Martial Arts Instructor,,
Driver,,
Staff Subcontracts Manager,,
Auditor,,
Editor,,
Lion Tamer,,
Payphone Cash Collector,,
Arabic,AL-HIRI,
Abu Abdullah,,
Umm Aisha,,
Abdullah ibn,,
Aisha bint,,
Abdullah bin,,
Arabic Names,Male Names,Female Names
Abdullah,MALE NAMES,
Abdul-Hayy,MALE NAMES,
Abdul-Muhsin,MALE NAMES,
Abdul-Rahman,MALE NAMES,
Ahmad,MALE NAMES,
Ali,MALE NAMES,
Amr,MALE NAMES,
Baqar,MALE NAMES,
Da'wud,MALE NAMES,
Fadl,MALE NAMES,
Ghazi,MALE NAMES,
Habib,MALE NAMES,
Hamid,MALE NAMES,
Hamzah,MALE NAMES,
Hashim,MALE NAMES,
Hassan,MALE NAMES,
Husayn,MALE NAMES,
Ibrahim,MALE NAMES,
Imad,MALE NAMES,
Imran,MALE NAMES,
Ihsan,MALE NAMES,
Ismail,MALE NAMES,
Khalid,MALE NAMES,
Mahmud,MALE NAMES,
Mansur,MALE NAMES,
Nabil,MALE NAMES,
Nashat,MALE NAMES,
Rafiq,MALE NAMES,
Salim,MALE NAMES,
Shahid,MALE NAMES,
A'isha,FEMALE NAMES,
Alina,FEMALE NAMES,
Ali,FEMALE NAMES,
Amr,FEMALE NAMES,
Azizah,FEMALE NAMES,
Banujah,FEMALE NAMES,
Bilqis,FEMALE NAMES,
Bushra,FEMALE NAMES,
Chanda,FEMALE NAMES,
Dahab,FEMALE NAMES,
Faiza,FEMALE NAMES,
Fatima,FEMALE NAMES,
Ghaniyah,FEMALE NAMES,
Hafsah,FEMALE NAMES,
Halima,FEMALE NAMES,
Hind,FEMALE NAMES,
Hullah,FEMALE NAMES,
Izza,FEMALE NAMES,
Jamilah,FEMALE NAMES,
Jinan,FEMALE NAMES,
Kamisa,FEMALE NAMES,
Kashifah,FEMALE NAMES,
Khadijah,FEMALE NAMES,
