name,source_category
Thavius Kreeg,Category:Amnizus
Lyonarth,Category:Androsphinxes
Rider of the Evening Breeze,Category:Androsphinxes
Shex,Category:Angels of decay
Klank,Category:Animated armors
Suldrian's stunning self-shining armor,Category:Animated armors
Deadly Treasure,Category:Ankylosauruses
Grung Stomper,Category:Ankylosauruses
Chaul,Category:Annises
Errevastica,Category:Annises
Gremma,Category:Annises
Tanta Hagara,Category:Annises
Mhaug,Category:Annises
Gertrude Wormtongue,Category:Annises
Nisviim,Category:Arcanaloths
Ygga Raxyg,Category:Arcanaloths
Scrivenscry,Category:Arcanaloths
Yrkhetep,Category:Arcanaloths
Ilyndele,Category:Arcane
Maskado,Category:Arcane
Abigor,Category:Archdevils
Agares,Category:Archdevils
Alocer,Category:Archdevils
Amduscias,Category:Archdevils
Amon (archdevil),Category:Archdevils
Arioch,Category:Archdevils
Armaros,Category:Archdevils
Asmodeus,Category:Archdevils
Azazel,Category:Archdevils
Baalzebul,Category:Archdevils
Bael,Category:Archdevils
Baelzra,Category:Archdevils
Baftis,Category:Archdevils
Balan,Category:Archdevils
Barbatos,Category:Archdevils
Bathym,Category:Archdevils
Batna,Category:Archdevils
Beherit,Category:Archdevils
Bel,Category:Archdevils
Belial,Category:Archdevils
Bensozia,Category:Archdevils
Biffant,Category:Archdevils
Bileth,Category:Archdevils
Bist,Category:Archdevils
Bitru,Category:Archdevils
Caarcrinolaas,Category:Archdevils
Cahor,Category:Archdevils
Caim,Category:Archdevils
Chamo,Category:Archdevils
Cozbi,Category:Archdevils
Dispater,Category:Archdevils
Duskur,Category:Archdevils
Fierna,Category:Archdevils
Focalor,Category:Archdevils
Gargauth,Category:Archdevils
Gaziel,Category:Archdevils
Geryon,Category:Archdevils
Glasya,Category:Archdevils
Glwa,Category:Archdevils
Gorson,Category:Archdevils
Graz'zt,Category:Archdevils
Harhoring,Category:Archdevils
Herodias,Category:Archdevils
Hulgaz,Category:Archdevils
Hutijin,Category:Archdevils
Jaqon,Category:Archdevils
Kochbiel,Category:Archdevils
Levistus,Category:Archdevils
Lilis,Category:Archdevils
Lilith (archdevil),Category:Archdevils
Lucifuge,Category:Archdevils
Machalas,Category:Archdevils
Malachlabra,Category:Archdevils
Malarea,Category:Archdevils
Malkizid,Category:Archdevils
Malphas,Category:Archdevils
Mammon,Category:Archdevils
Marane,Category:Archdevils
Melchon,Category:Archdevils
Mephistopheles,Category:Archdevils
Merodach,Category:Archdevils
Moloch,Category:Archdevils
Morsch,Category:Archdevils
Naome,Category:Archdevils
Neabaz,Category:Archdevils
Nergal (archdevil),Category:Archdevils
Nisroch,Category:Archdevils
Oomrith,Category:Archdevils
Phongor,Category:Archdevils
Qirozz,Category:Archdevils
Rimmon,Category:Archdevils
Rumjal,Category:Archdevils
Sagirsa,Category:Archdevils
Skeldagon,Category:Archdevils
Tartach,Category:Archdevils
Tasnya,Category:Archdevils
Titivilus,Category:Archdevils
Yarsabras,Category:Archdevils
Zagum,Category:Archdevils
Zariel,Category:Archdevils
Zepar,Category:Archdevils
Auril,Category:Archfey
Baba Yaga,Category:Archfey
Cerunnos,Category:Archfey
Deep Sashelas,Category:Archfey
Hyrsam,Category:Archfey
Iggwilv,Category:Archfey
Sarula Iliene,Category:Archfey
Kannoth,Category:Archfey
Lurue,Category:Archfey
Neifion,Category:Archfey
Ordalf,Category:Archfey
Prince of Frost,Category:Archfey
Psilofyr,Category:Archfey
Queen of Air and Darkness,Category:Archfey
Relkath of the Infinite Branches,Category:Archfey
Nintra Siotta,Category:Archfey
Stag King,Category:Archfey
Titania,Category:Archfey
Verenestra,Category:Archfey
Archlich,Category:Archliches
Bandaerl,Category:Archliches
Renwick Caradoon,Category:Archliches
Darthleene,Category:Archliches
Alathene Moonstar,Category:Archliches
Rhaugilath,Category:Archliches
Saharel,Category:Archliches
Archomental,Category:Archomentals
Ben-hadar,Category:Archomentals
Bwimb,Category:Archomentals
Bwimb II,Category:Archomentals
Chan,Category:Archomentals
Cryonax,Category:Archomentals
Ehkahk,Category:Archomentals
Entemoch,Category:Archomentals
Imix,Category:Archomentals
Ogrémoch,Category:Archomentals
Olhydra,Category:Archomentals
Sunnis,Category:Archomentals
Yan-C-Bin,Category:Archomentals
Zaaman Rul,Category:Archomentals
Akmed,Category:Artist genies
Jaheira (genie),Category:Artist genies
Naomi,Category:Artist genies
Safia,Category:Artist genies
Tara'a,Category:Artist genies
Ashtara,Category:Asabis
Stingtail,Category:Asabis
Alecto,Category:Aspects
Araluen,Category:Aspects
Bright Nydra,Category:Aspects
Entropy,Category:Aspects
Aerdrie Faenya,Category:Aspects
Furies,Category:Aspects
Kashada,Category:Aspects
Kazgaroth,Category:Aspects
Lathander,Category:Aspects
Malyk (demipower),Category:Aspects
Marduk,Category:Aspects
Megarea,Category:Aspects
Sehanine Moonbow,Category:Aspects
N'asr,Category:Aspects
Talos,Category:Aspects
Tisiphone,Category:Aspects
Eirwyn,Category:Astral devas
Garin,Category:Astral devas
Lumalia,Category:Astral devas
Micus,Category:Astral devas
Nilsa,Category:Astral devas
Tauran,Category:Astral devas
Absalom,Category:Asuras
Grand Celestial Host,Category:Asuras
Xingax,Category:Atropals
Briarbones,Category:Avolakia
Xrq'nkvzk,Category:Avolakia
Windheir,Category:Avorals
Wyndyfarh,Category:Avorals
Zvestra,Category:Avorals
Amaimon,Category:Azers
Cripakolus,Category:Azers
Falchia,Category:Azers
Lakataki,Category:Azers
Lawrence,Category:Badgers
Naloch,Category:Badgers
Caalenfaire,Category:Baelnorn liches
Braerindra Calauth,Category:Baelnorn liches
Corineus Drannaeken,Category:Baelnorn liches
Synnorha Durothil,Category:Baelnorn liches
Phantyni Evanara,Category:Baelnorn liches
Larrel,Category:Baelnorn liches
Lashyrr Maerdrymm,Category:Baelnorn liches
Molostroi,Category:Baelnorn liches
Thurauvyn Nathalanorn,Category:Baelnorn liches
Roanmara Neirdre,Category:Baelnorn liches
Susklahava Orbryn,Category:Baelnorn liches
Pharos,Category:Baelnorn liches
Phathroi,Category:Baelnorn liches
Torynnar Rhaevaern,Category:Baelnorn liches
Srinshee,Category:Baelnorn liches
Ilrune Symbaern,Category:Baelnorn liches
Choin,Category:Bakemono
Axithar,Category:Balors
Baalbisan,Category:Balors
Badrazel,Category:Balors
Balor (individual),Category:Balors
Belaphoss,Category:Balors
Chare'en,Category:Balors
Errtu,Category:Balors
Fareeansis,Category:Balors
Glyphimhor,Category:Balors
Grintharke,Category:Balors
Kazz'Temmet,Category:Balors
Klavikus,Category:Balors
Ndulu,Category:Balors
Orcus,Category:Balors
Raachaak,Category:Balors
Ter-soth,Category:Balors
Vrr'maal,Category:Balors
Wendonai,Category:Balors
Etsu-no-kami Makoto,Category:Bamboo spirit folk
Katsuhara Omitsu,Category:Bamboo spirit folk
Mei Kuei Chu,Category:Bamboo spirit folk
Nagoya Hatano,Category:Bamboo spirit folk
Isti-Zar,Category:Banelar nagas
The Keeper,Category:Banelar nagas
Agatha,Category:Banshees
Banshee,Category:Banshees
Elandra,Category:Banshees
Miraal,Category:Banshees
Thanatos,Category:Banshees
Vyldara,Category:Banshees
Krikendolt,Category:Barbazus
Narg,Category:Barbazus
Yangor,Category:Barbazus
Barghest,Category:Barghests
Kempfana,Category:Barghests
Ulgulu,Category:Barghests
Yquog,Category:Barghests
Veldyskar,Category:Basilisks
Azmyth,Category:Bats
Giant bat,Category:Bats
Deep bat,Category:Bats
Doombat,Category:Bats
Ghost (bat),Category:Bats
Gothma,Category:Bats
Ice bat,Category:Bats
Mobat,Category:Bats
Mr. Barnabus,Category:Bats
Night hunter,Category:Bats
Vampire bat,Category:Bats
Volo (familiar),Category:Bats
Aeger,Category:Bears
Bear,Category:Bears
Black bear,Category:Bears
Bluster,Category:Bears
Bolok,Category:Bears
Brown bear,Category:Bears
Cave bear,Category:Bears
Darkmaw,Category:Bears
Darlow,Category:Bears
Dire bear,Category:Bears
Okku,Category:Bears
Old Oghi,Category:Bears
Ormn,Category:Bears
Polar bear,Category:Bears
Roaming Bear,Category:Bears
Tilbee,Category:Bears
Tuffet,Category:Bears
Ursa,Category:Bears
Blue Bess,Category:Behirs
Grimlight,Category:Behirs
Halruaan behir,Category:Behirs
Longjaws,Category:Behirs
Araunglauth,Category:Beholders
Arglath,Category:Beholders
Beholder mage,Category:Beholders
Beholder zombie,Category:Beholders
Blind,Category:Beholders
Bloodkiss beholder,Category:Beholders
Vikhrumn Coll,Category:Beholders
Death kiss,Category:Beholders
Death tyrant,Category:Beholders
Dexam,Category:Beholders
Director,Category:Beholders
Doomsphere,Category:Beholders
Elder orb,Category:Beholders
Eye monger,Category:Beholders
Eye of flame,Category:Beholders
Eye of the deep,Category:Beholders
Felbris,Category:Beholders
G'Zhorb,Category:Beholders
Gauth,Category:Beholders
Gavmogon,Category:Beholders
Gazer,Category:Beholders
Glormorglulla,Category:Beholders
Gouger,Category:Beholders
Gzemnid,Category:Beholders
Hyr'zxx,Category:Beholders
Irixis,Category:Beholders
Ithaqull,Category:Beholders
Jessek,Category:Beholders
Kanabar,Category:Beholders
Karazikar,Category:Beholders
Kirukeskai,Category:Beholders
Large Luigi,Category:Beholders
Lorthuun,Category:Beholders
Manxam,Category:Beholders
Mindwitness,Category:Beholders
Misker,Category:Beholders
Nelac,Category:Beholders
Nerozar,Category:Beholders
Observer,Category:Beholders
Oculus the Inflamed,Category:Beholders
Omaranthax,Category:Beholders
Orox,Category:Beholders
Overseer,Category:Beholders
Qiltox,Category:Beholders
Quaervaxthanus,Category:Beholders
Queen of Ythryn,Category:Beholders
Quysszt,Category:Beholders
Qyraaptir,Category:Beholders
Rakaxalorth,Category:Beholders
Renekor,Category:Beholders
Sekrr,Category:Beholders
Shatevar,Category:Beholders
Skixtalq,Category:Beholders
Spectator,Category:Beholders
Talgath,Category:Beholders
Tharxul,Category:Beholders
Thaxalia,Category:Beholders
Tobulux,Category:Beholders
Uncrimmon,Category:Beholders
Unseeing Eye,Category:Beholders
Vaxall,Category:Beholders
Veoyh,Category:Beholders
Worthful,Category:Beholders
Xabash,Category:Beholders
Xakamt,Category:Beholders
Xanathar (original),Category:Beholders
Xanathar (title),Category:Beholders
Xanathar (Zushaxx),Category:Beholders
Xantam,Category:Beholders
Xantriph,Category:Beholders
Xaoch,Category:Beholders
Xarlandralath,Category:Beholders
Xarlraun,Category:Beholders
Xathcrism,Category:Beholders
Xazax,Category:Beholders
Xebekal,Category:Beholders
Xenix,Category:Beholders
Xianthrope,Category:Beholders
Xoraulkyr,Category:Beholders
Xorlughra,Category:Beholders
Xualahuu,Category:Beholders
Xulla,Category:Beholders
Zormarq,Category:Beholders
Zulthondre,Category:Beholders
Zxaticus,Category:Beholders
Grandmother Snow,Category:Bheurs
Al-Amzija,Category:Black clouds of vengeance
Ahzalundelarr,Category:Black dragons
Alorglauvenemaus,Category:Black dragons
Amnemis,Category:Black dragons
Anglathammaroth,Category:Black dragons
Aswidorg,Category:Black dragons
Calathanorgoth,Category:Black dragons
Casarial,Category:Black dragons
Chardansearavitriol,Category:Black dragons
Cheleen,Category:Black dragons
Constulgrael,Category:Black dragons
Daurgothoth,Category:Black dragons
Despayr,Category:Black dragons
Dransagalor,Category:Black dragons
Enixtryx,Category:Black dragons
Eziderax,Category:Black dragons
Ferzath,Category:Black dragons
Garrundar,Category:Black dragons
Grimnoth,Category:Black dragons
Gryznath,Category:Black dragons
Harlotharaur,Category:Black dragons
Harondalbar,Category:Black dragons
Hesperdan,Category:Black dragons
Hethcypressarvil,Category:Black dragons
Insithryllax,Category:Black dragons
Iyrauroth,Category:Black dragons
Kasidikal,Category:Black dragons
Kazlotar,Category:Black dragons
Kazmil-urshula-kelloakizilian,Category:Black dragons
Kelpacitus,Category:Black dragons
Kreston,Category:Black dragons
Lorragauth,Category:Black dragons
Maelestor Rex,Category:Black dragons
Melauthaur,Category:Black dragons
Mergandevinasander,Category:Black dragons
Mrinabnahor,Category:Black dragons
Naeryndroth,Category:Black dragons
Nizidramanii'yt,Category:Black dragons
Orlgaun,Category:Black dragons
Rakor,Category:Black dragons
Ralas,Category:Black dragons
Rezmir,Category:Black dragons
Rogrotus,Category:Black dragons
Roroaros,Category:Black dragons
Rythnax,Category:Black dragons
Serreg,Category:Black dragons
Ketsarra Shadowscale,Category:Black dragons
Shammagar,Category:Black dragons
Sharndrel,Category:Black dragons
Sjachmalsvir,Category:Black dragons
Skurge,Category:Black dragons
Slarkas,Category:Black dragons
Starlaurynguldar,Category:Black dragons
Sulfurus,Category:Black dragons
Thauglorimorgorus,Category:Black dragons
Throstulgrael,Category:Black dragons
Thuraskulusk,Category:Black dragons
Tyra,Category:Black dragons
Ueurwen,Category:Black dragons
Valraxaxath,Category:Black dragons
Vartilingorix,Category:Black dragons
Vilholin,Category:Black dragons
Voaraghamanthar,Category:Black dragons
Vorazidrar,Category:Black dragons
Waervaerendor,Category:Black dragons
Wastirek,Category:Black dragons
Woklef,Category:Black dragons
Zarkursk,Category:Black dragons
Zarlandris,Category:Black dragons
Zvopua,Category:Black dragons
Olin (black firedrake),Category:Black firedrakes
Kalach-Cha's construct,Category:Blade golems
Sseelrigoth,Category:Blight wyrms
Mari Agneh,Category:Blood fiends
Tsagoth,Category:Blood fiends
Abazigal,Category:Blue dragons
Aghazstamn,Category:Blue dragons
Alasklerbanbastos,Category:Blue dragons
Amilektrevitrioelis,Category:Blue dragons
Anaglathos,Category:Blue dragons
Anaxaster,Category:Blue dragons
Araugauthos,Category:Blue dragons
Aungahlaumitor,Category:Blue dragons
Azharzel,Category:Blue dragons
Baurthaglos,Category:Blue dragons
Boraksaghegirak,Category:Blue dragons
Calabastasingavor,Category:Blue dragons
Canthraxis,Category:Blue dragons
Chezzaran,Category:Blue dragons
Clytemorrenestrix,Category:Blue dragons
Langdedrosa Cyanwrath,Category:Blue dragons
Draconnis,Category:Blue dragons
Anwir Dupretiskava,Category:Blue dragons
Enthranos,Category:Blue dragons
Fulminorax,Category:Blue dragons
Gerinvioch,Category:Blue dragons
Gestaniius,Category:Blue dragons
Ghondalaath,Category:Blue dragons
Gloriankithsanus,Category:Blue dragons
Halectrizar,Category:Blue dragons
Idrizraele,Category:Blue dragons
Iryklathagra,Category:Blue dragons
Iymrith,Category:Blue dragons
Karselridrith,Category:Blue dragons
Kradazuur,Category:Blue dragons
Lennithon,Category:Blue dragons
Maldraedior,Category:Blue dragons
Malygris,Category:Blue dragons
Krashos Morueme,Category:Blue dragons
Olothontor,Category:Blue dragons
Oskurouh,Category:Blue dragons
Saluuknir,Category:Blue dragons
Sapphiraktar,Category:Blue dragons
Ser'ryu,Category:Blue dragons
Sherincal,Category:Blue dragons
Skalnaedyr (dragon),Category:Blue dragons
Sparkrender,Category:Blue dragons
Sturykkazynarr,Category:Blue dragons
Tekthyrios,Category:Blue dragons
Venfithar,Category:Blue dragons
Venzentilax,Category:Blue dragons
Verianthraxa,Category:Blue dragons
Vilithrax,Category:Blue dragons
Vistalancer,Category:Blue dragons
Vurkkazynarr,Category:Blue dragons
Zavarak,Category:Blue dragons
Xynicynct,Category:Blue slaadi
Othglas Aumar,Category:Boars
Broalaunt,Category:Boars
Dire boar,Category:Boars
Hellsboar,Category:Boars
Snort,Category:Boars
Tusk (boar),Category:Boars
Volmer,Category:Bone devils
Lod,Category:Bone nagas
Terpenzi,Category:Bone nagas
Mourel Duskwalker,Category:Brains in jars
Graoul,Category:Brains in jars
Krektesh,Category:Brains in jars
Lirith,Category:Brains in jars
Ukthet,Category:Brains in jars
Gwynharwyf,Category:Bralani
Baratathlaer,Category:Brass dragons
Girac,Category:Brass dragons
Ileuthra,Category:Brass dragons
Samdralyrion,Category:Brass dragons
Silixia,Category:Brass dragons
Turadaer,Category:Brass dragons
Ansur,Category:Bronze dragons
Arellaxerrontoal,Category:Bronze dragons
Astalagan,Category:Bronze dragons
Eormennoth,Category:Bronze dragons
Felgolos,Category:Bronze dragons
Gisentraxia,Category:Bronze dragons
Ilimalaaros,Category:Bronze dragons
Khuralosothantar,Category:Bronze dragons
Lhammaruntosz,Category:Bronze dragons
Messanth,Category:Bronze dragons
Nymmurh,Category:Bronze dragons
Ohmrathedar,Category:Bronze dragons
Ororonymilith,Category:Bronze dragons
Pelath,Category:Bronze dragons
Quelindritar,Category:Bronze dragons
Quelsandas,Category:Bronze dragons
Runara,Category:Bronze dragons
Srossar,Category:Bronze dragons
Ulreel,Category:Bronze dragons
Umbraxakar,Category:Bronze dragons
Umsheryoth,Category:Bronze dragons
Vingdavalac,Category:Bronze dragons
Vorasaegha,Category:Bronze dragons
Zelifarn,Category:Bronze dragons
Zirazylym,Category:Bronze dragons
Artur,Category:Brown bears
Wilson,Category:Brown bears
Draconis,Category:Brown dragons
Slavin'krath'magaal,Category:Brown dragons
Thovantareth,Category:Brown dragons
Vulpomyscan,Category:Brown dragons
Dubilitop,Category:Brownies
Oberon (brownie),Category:Brownies
Bao'ek'nuk,Category:Bugbears
Broargarg,Category:Bugbears
Fyodor (bugbear),Category:Bugbears
Ganark,Category:Bugbears
Ghorashk,Category:Bugbears
Gisbertus,Category:Bugbears
Gorrunk,Category:Bugbears
Grol,Category:Bugbears
Grukkoh,Category:Bugbears
Gvrag,Category:Bugbears
Hrar,Category:Bugbears
Klarg,Category:Bugbears
Mosk,Category:Bugbears
Stamkk,Category:Bugbears
Stimk,Category:Bugbears
Teghun,Category:Bugbears
Thulk,Category:Bugbears
Tutugnik,Category:Bugbears
Bullywug,Category:Bullywugs
Pharblex Spattergoo,Category:Bullywugs
Torbit,Category:Bullywugs
Tan'u,Category:Butu
Zantu,Category:Butu
Acererak,Category:Cambions
Aesgareth,Category:Cambions
Agrak,Category:Cambions
Asbeel,Category:Cambions
Cirrus,Category:Cambions
Xhalph Dlardrageth,Category:Cambions
Gattash,Category:Cambions
Isair,Category:Cambions
Kaddrus,Category:Cambions
Lorcan,Category:Cambions
Madae,Category:Cambions
Matliedun,Category:Cambions
Mizora,Category:Cambions
Morothec,Category:Cambions
Raphael,Category:Cambions
Rashara,Category:Cambions
Rigorath,Category:Cambions
Rule-of-Three,Category:Cambions
Vheod Runechild,Category:Cambions
Branimern Rythil,Category:Cambions
Sairché,Category:Cambions
Susariel,Category:Cambions
Kaanyr Vhok,Category:Cambions
Iyachtu Xvim,Category:Cambions
Zhalk,Category:Cambions
Aburu,Category:Camels
Areghaeb,Category:Cats
Calliope (cheetah),Category:Cats
Frethian,Category:Cats
Gamaliel,Category:Cats
Grimalkin,Category:Cats
His Majesty,Category:Cats
Loki (cat),Category:Cats
Merrylson,Category:Cats
Myshka,Category:Cats
Neyobu,Category:Cats
Pretti,Category:Cats
Razor (cat),Category:Cats
Silky,Category:Cats
Snuggleguts,Category:Cats
Sparkle,Category:Cats
Steelclaw,Category:Cats
Tambourine (cat),Category:Cats
Celadrin,Category:Celadrin
Ascodel,Category:Celestial eladrin
Bralani,Category:Celestial eladrin
Celestial eladrin,Category:Celestial eladrin
Coure,Category:Celestial eladrin
Firre,Category:Celestial eladrin
Ghaele,Category:Celestial eladrin
Noviere,Category:Celestial eladrin
Shiere,Category:Celestial eladrin
Shiradi,Category:Celestial eladrin
Tulani,Category:Celestial eladrin
Berdak,Category:Centaurs
Charvon,Category:Centaurs
Dalthyria,Category:Centaurs
Desert centaur,Category:Centaurs
Timoth Eyesbright,Category:Centaurs
Blackland Ironhoof,Category:Centaurs
Gwyon Ironhoof,Category:Centaurs
Gglaerthus Irymm,Category:Centaurs
Kiros,Category:Centaurs
Maeldithar,Category:Centaurs
Nomadic centaur,Category:Centaurs
Prancer,Category:Centaurs
Shinar,Category:Centaurs
Valon,Category:Centaurs
Vikos,Category:Centaurs
Wynter,Category:Centaurs
Xanth,Category:Centaurs
Anyo,Category:Chiang lung
Kai Chiang Lung,Category:Chiang lung
Merah,Category:Chiang lung
Asojano,Category:Chimeras
Alastrah,Category:Cloud giants
Blagothkus,Category:Cloud giants
Burruld,Category:Cloud giants
Cressaro,Category:Cloud giants
Durvastra,Category:Cloud giants
Eigeron,Category:Cloud giants
Esclarotta,Category:Cloud giants
Fracto-Nimbuli,Category:Cloud giants
Haayon,Category:Cloud giants
Hagatha,Category:Cloud giants
Kaaltar,Category:Cloud giants
Marchas,Category:Cloud giants
Nicias,Category:Cloud giants
Nirva,Category:Cloud giants
Rajiram,Category:Cloud giants
Sansuri,Category:Cloud giants
Thullen,Category:Cloud giants
Vaal,Category:Cloud giants
Xephras,Category:Cloud giants
Zephyros,Category:Cloud giants
Abraxus,Category:Constructs
Adamantine golem,Category:Constructs
Alias,Category:Constructs
Anaxim,Category:Constructs
Animated armor,Category:Constructs
Animated object,Category:Constructs
Anvil of Dumathoin,Category:Constructs
Aphelda's vendor golem,Category:Constructs
Arachnar,Category:Constructs
Arbalest (modron),Category:Constructs
Astral construct,Category:Constructs
Basal golem,Category:Constructs
Big Belchy,Category:Constructs
Blood golem,Category:Constructs
Bone golem,Category:Constructs
Bone spider,Category:Constructs
Bore worm,Category:Constructs
Bore worm (Gondar imitation),Category:Constructs
Brain golem,Category:Constructs
Bronze golem,Category:Constructs
Bronze serpent,Category:Constructs
Burning man,Category:Constructs
Butterfly golem,Category:Constructs
Butterfly swarm,Category:Constructs
Cadaver collector,Category:Constructs
Cadaver golem,Category:Constructs
Canopic golem,Category:Constructs
Carrionette,Category:Constructs
Caryatid column,Category:Constructs
Ceramic golem,Category:Constructs
Chain golem,Category:Constructs
Chardalyn dragon,Category:Constructs
Chelathra,Category:Constructs
Clay golem,Category:Constructs
Clay warrior,Category:Constructs
Clockroach,Category:Constructs
Clockwork dragon,Category:Constructs
Clockwork horror,Category:Constructs
Coal golem,Category:Constructs
Copper hawk,Category:Constructs
Crawling claw,Category:Constructs
Crimson crystal golem,Category:Constructs
Crimson crystal horse,Category:Constructs
Crystal golem,Category:Constructs
Crystalline warriors,Category:Constructs
Cynosure (construct),Category:Constructs
Decaton,Category:Constructs
Demonflesh golem,Category:Constructs
Detritus,Category:Constructs
Diamond golem,Category:Constructs
Doll golem,Category:Constructs
Doom guard,Category:Constructs
Dragonbone golem,Category:Constructs
Dragonflesh golem,Category:Constructs
Drakestone golem,Category:Constructs
Drowslayer,Category:Constructs
Duodrone,Category:Constructs
Eidolon,Category:Constructs
Emerald golem,Category:Constructs
Fang golem,Category:Constructs
Fiendish flesh golem,Category:Constructs
Fiendish icon,Category:Constructs
Fighting doll,Category:Constructs
Flesh golem,Category:Constructs
Flying fingers,Category:Constructs
Flying sword,Category:Constructs
Gargoyle golem,Category:Constructs
Gates of Bone,Category:Constructs
Gemstone golem,Category:Constructs
Gloom golem,Category:Constructs
Golem,Category:Constructs
Gondsman,Category:Constructs
Gorgon,Category:Constructs
Grandfather plaque,Category:Constructs
Griffon (Walking Statue),Category:Constructs
Guardgoyle,Category:Constructs
Guardian (Hall of Legends),Category:Constructs
Guardian portrait,Category:Constructs
Half-golem,Category:Constructs
Hammer golem,Category:Constructs
Hellfire engine,Category:Constructs
Helmed horror,Category:Constructs
Hexton,Category:Constructs
Homunculus,Category:Constructs
Ice golem,Category:Constructs
Incubolos,Category:Constructs
Inevitable,Category:Constructs
Iron cobra,Category:Constructs
Iron golem,Category:Constructs
Ironwyrm golem,Category:Constructs
Ivory shieldmaiden,Category:Constructs
Izzaxu,Category:Constructs
Jade spider,Category:Constructs
King of Shadows,Category:Constructs
Kolyarut,Category:Constructs
Living Bigby's Hand,Category:Constructs
Living construct,Category:Constructs
Living spell,Category:Constructs
Living unseen servant,Category:Constructs
Living wall,Category:Constructs
Magen,Category:Constructs
Magic golem,Category:Constructs
Marut,Category:Constructs
Maug (construct),Category:Constructs
Merchurion,Category:Constructs
Metallic peacekeeper,Category:Constructs
Metallic sentinel,Category:Constructs
Mickey,Category:Constructs
Mighty Servant of Leuk-o,Category:Constructs
Minogon,Category:Constructs
Modron,Category:Constructs
Monodrone,Category:Constructs
Jade More,Category:Constructs
Mud golem,Category:Constructs
Necrophidius,Category:Constructs
Nimblewright,Category:Constructs
Nonaton,Category:Constructs
Nyraala golem,Category:Constructs
Octon,Category:Constructs
Pentadrone,Category:Constructs
Quadrone,Category:Constructs
Quarut,Category:Constructs
Quesar,Category:Constructs
Rag and string golem,Category:Constructs
Raggamoffyn,Category:Constructs
Red Queen,Category:Constructs
Retriever,Category:Constructs
Rex (construct),Category:Constructs
Ruby golem,Category:Constructs
Rug of smothering,Category:Constructs
Rusted,Category:Constructs
Sahuagin Humbled,Category:Constructs
Sand golem,Category:Constructs
Scaladar,Category:Constructs
Scarecrow,Category:Constructs
Septon,Category:Constructs
Serpentflesh golem,Category:Constructs
Shadesteel golem,Category:Constructs
Shardcaster,Category:Constructs
Shardsoul,Category:Constructs
Shield guardian,Category:Constructs
Siege golem,Category:Constructs
Skull flier,Category:Constructs
Snow golem,Category:Constructs
Spiderstone golem,Category:Constructs
Spiderwalker,Category:Constructs
Stained glass golem,Category:Constructs
Statue of Mystra,Category:Constructs
Steel predator,Category:Constructs
Steel watcher,Category:Constructs
Stone cursed,Category:Constructs
Stone defender,Category:Constructs
Stone golem,Category:Constructs
Stone guardian,Category:Constructs
Stone juggernaut,Category:Constructs
Stone spider,Category:Constructs
Stone spirit,Category:Constructs
Stone wolf,Category:Constructs
Talisman servant (Mystran),Category:Constructs
Thayan golem,Category:Constructs
Tomb tapper,Category:Constructs
Tombstone golem,Category:Constructs
Tourmaline golem,Category:Constructs
Tridrone,Category:Constructs
Trobriand's automaton,Category:Constructs
Umbral blot,Category:Constructs
